scheme kind op rng_in_timed nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
upspa prim HASH_suid 0 40 40 2000 300 81 84 86 111 84.311 3.268
upspa prim HASH_vinfo 0 40 40 2000 300 75 78 79 106 78.097 3.163
tspa proto reg 0 40 40 2000 300 1287886 1355607 1412857 2016361 1363772.997 33651.564
tspa proto auth 0 40 40 2000 300 1048507 1118619 1153998 1211735 1118366.814 20654.616
tspa prim HASH_storuid 0 40 40 2000 300 84 86 101 109 86.986 4.056
tspa prim HASH_vinfo 0 40 40 2000 300 83 86 88 108 86.240 3.125
tspa prim OPRF_finalize 0 40 40 2000 300 3680 3799 4073 7687 3853.829 165.580
tspa prim OPRF_eval_full 0 40 40 2000 300 31890 32711 34386 63733 32800.771 1704.387
tspa prim MulP_point_scalar 0 40 40 2000 300 27551 28881 30329 56506 29058.262 1689.967
tspa prim InvS_scalar_invert 0 40 40 2000 300 10293 10357 11318 35293 10487.497 865.461
tspa prim FieldOp_mul_add 0 40 40 2000 300 108 113 115 136 113.076 1.822
tspa prim AES256CTR_xor_32 0 40 40 2000 300 104 116 127 3413 121.151 82.242
tspa prim PolyEval_degree_t_minus_1 0 40 40 2000 300 3859 3915 4266 25987 3965.018 537.659
upspa proto reg 0 60 12 2000 300 337425 360856 374681 408984 361556.805 8698.345
upspa proto auth 0 60 12 2000 300 342460 365916 378194 456730 366174.256 8748.210
upspa proto secupd 0 60 12 2000 300 354903 379617 399657 571599 380888.433 11324.282
upspa proto pwdupd 0 60 12 2000 300 1368907 1452500 1546876 2476317 1469537.373 81351.300
upspa formula auth 0 60 12 2000 300 342707 370659 405298 667333 378204.095 35928.527
upspa prim TOPRF_client_eval 0 60 12 2000 300 401803 420949 460881 676018 431440.436 27471.539
upspa prim AEAD_DEC_cipherid 0 60 12 2000 300 1412 1435 1531 28024 1473.431 616.707
upspa prim AEAD_DEC_ciphersp 0 60 12 2000 300 1319 1360 1492 4237 1397.588 93.918
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 60 12 2000 300 1308 1327 1442 4423 1336.653 86.838
upspa prim HASH_suid 0 60 12 2000 300 81 83 86 105 84.207 3.421
upspa prim HASH_vinfo 0 60 12 2000 300 74 78 80 100 78.392 3.026
tspa proto reg 0 60 12 2000 300 1769986 1857635 1933969 2683454 1865314.140 44675.515
tspa proto auth 0 60 12 2000 300 336865 359936 373555 433272 359404.583 9180.298
tspa prim HASH_storuid 0 60 12 2000 300 80 84 100 916 87.179 33.004
tspa prim HASH_vinfo 0 60 12 2000 300 79 82 96 105 82.888 4.130
tspa prim OPRF_finalize 0 60 12 2000 300 3658 3725 4071 6916 3778.424 158.187
tspa prim OPRF_eval_full 0 60 12 2000 300 31857 32742 35269 69826 32997.205 1867.528
tspa prim MulP_point_scalar 0 60 12 2000 300 28136 28885 30282 56289 29059.315 1560.501
tspa prim InvS_scalar_invert 0 60 12 2000 300 10296 10353 11306 35701 10453.131 819.430
tspa prim FieldOp_mul_add 0 60 12 2000 300 108 114 125 1547 118.249 36.826
tspa prim AES256CTR_xor_32 0 60 12 2000 300 104 106 108 130 106.264 1.939
tspa prim PolyEval_degree_t_minus_1 0 60 12 2000 300 1167 1191 1200 1218 1190.695 6.245
upspa proto reg 0 60 24 2000 300 601405 638014 663846 993429 641260.142 16201.041
upspa proto auth 0 60 24 2000 300 600433 639953 667765 775719 643015.201 12513.737
upspa proto secupd 0 60 24 2000 300 630787 674441 704687 823935 676928.524 15803.938
upspa proto pwdupd 0 60 24 2000 300 1781785 1875735 1948441 2141534 1883862.278 33622.999
upspa formula auth 0 60 24 2000 300 598032 639975 665923 801005 642406.654 13549.096
upspa prim TOPRF_client_eval 0 60 24 2000 300 740094 775224 835853 1319204 788738.221 42413.126
upspa prim AEAD_DEC_cipherid 0 60 24 2000 300 1413 1434 1478 15794 1462.815 358.583
upspa prim AEAD_DEC_ciphersp 0 60 24 2000 300 1320 1365 1479 4074 1388.226 141.101
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 60 24 2000 300 1307 1326 1348 2772 1333.585 53.410
upspa prim HASH_suid 0 60 24 2000 300 82 85 99 103 85.588 3.880
upspa prim HASH_vinfo 0 60 24 2000 300 75 78 80 96 78.538 2.971
tspa proto reg 0 60 24 2000 300 1839603 1932754 2014115 2978350 1942149.558 50223.225
tspa proto auth 0 60 24 2000 300 641783 685743 709455 1138634 685271.762 20788.059
tspa prim HASH_storuid 0 60 24 2000 300 81 84 98 111 85.160 4.029
tspa prim HASH_vinfo 0 60 24 2000 300 80 84 86 106 84.240 3.331
tspa prim OPRF_finalize 0 60 24 2000 300 3664 3726 4070 7161 3785.043 180.806
tspa prim OPRF_eval_full 0 60 24 2000 300 31909 32759 34809 54866 33006.087 1673.764
tspa prim MulP_point_scalar 0 60 24 2000 300 27602 28928 31340 49845 29451.231 1690.402
tspa prim InvS_scalar_invert 0 60 24 2000 300 10296 10376 11347 28448 10829.525 849.735
tspa prim FieldOp_mul_add 0 60 24 2000 300 108 113 115 133 113.126 1.691
