scheme kind op rng_in_timed nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
upspa prim TOPRF_client_eval 0 60 24 2000 300 417557 449316 505833 1294252 460685.641 60355.862
upspa prim AEAD_DEC_cipherid 0 60 24 2000 300 1045 1075 1089 7837 1077.533 152.310
upspa prim AEAD_DEC_ciphersp 0 60 24 2000 300 963 973 1011 232414 1103.094 5177.197
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 60 24 2000 300 957 965 971 8993 980.719 268.079
upspa prim HASH_suid 0 60 24 2000 300 71 73 75 113 73.630 1.912
upspa prim HASH_vinfo 0 60 24 2000 300 66 68 69 103 68.019 1.835
tspa proto reg 0 60 24 2000 300 1185113 1282896 1505140 3907793 1308811.135 108220.676
tspa proto auth 0 60 24 2000 300 458228 493655 558821 1203906 504225.655 55754.753
tspa prim HASH_storuid 0 60 24 2000 300 70 72 74 105 72.305 1.526
tspa prim HASH_vinfo 0 60 24 2000 300 69 71 73 1651 72.305 35.416
tspa prim OPRF_finalize 0 60 24 2000 300 2448 2503 2534 6993 2513.967 210.192
tspa prim OPRF_eval_full 0 60 24 2000 300 21360 21506 22033 247733 22163.808 9240.378
tspa prim MulP_point_scalar 0 60 24 2000 300 18544 19050 19947 368103 19821.841 11093.889
tspa prim InvS_scalar_invert 0 60 24 2000 300 6643 6680 6912 238844 6872.056 5203.091
tspa prim FieldOp_mul_add 0 60 24 2000 300 73 76 77 97 75.578 0.985
tspa prim AES256CTR_xor_32 0 60 24 2000 300 78 81 82 98 81.050 1.762
tspa prim PolyEval_degree_t_minus_1 0 60 24 2000 300 1432 1451 1462 9249 1461.986 222.537
upspa proto reg 0 60 36 2000 300 621763 670222 889179 1367956 692510.259 80842.719
upspa proto auth 0 60 36 2000 300 641049 691847 777874 2373033 704359.203 78455.386
upspa proto secupd 0 60 36 2000 300 657384 707871 836496 3690143 726743.792 124988.172
upspa proto pwdupd 0 60 36 2000 300 1413601 1525865 1673964 4739967 1546798.297 146350.722
upspa formula auth 0 60 36 2000 300 626346 680869 774555 1797365 692472.157 52768.734
upspa prim TOPRF_client_eval 0 60 36 2000 300 606414 657687 696729 1678472 663254.358 54723.975
upspa prim AEAD_DEC_cipherid 0 60 36 2000 300 1046 1060 1085 9134 1076.997 251.733
upspa prim AEAD_DEC_ciphersp 0 60 36 2000 300 962 972 979 8736 982.207 223.171
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 60 36 2000 300 958 966 973 1074 966.763 4.468
upspa prim HASH_suid 0 60 36 2000 300 72 74 81 7293 78.811 161.431
upspa prim HASH_vinfo 0 60 36 2000 300 66 69 75 565 69.900 15.385
tspa proto reg 0 60 36 2000 300 1221257 1316835 1431986 3505459 1328896.382 113562.606
tspa proto auth 0 60 36 2000 300 677685 733230 768515 1603096 737717.250 47647.731
tspa prim HASH_storuid 0 60 36 2000 300 72 74 75 114 73.849 1.652
tspa prim HASH_vinfo 0 60 36 2000 300 71 72 74 101 72.748 1.761
tspa prim OPRF_finalize 0 60 36 2000 300 2493 2539 2582 8239 2559.344 245.340
tspa prim OPRF_eval_full 0 60 36 2000 300 20651 22737 27469 226029 23632.771 7770.008
tspa prim MulP_point_scalar 0 60 36 2000 300 18204 20046 20409 72777 20050.504 1772.844
tspa prim InvS_scalar_invert 0 60 36 2000 300 6644 6681 7318 16072 6778.357 433.745
tspa prim FieldOp_mul_add 0 60 36 2000 300 72 75 77 4529 77.611 99.592
tspa prim AES256CTR_xor_32 0 60 36 2000 300 77 81 82 98 80.809 1.699
tspa prim PolyEval_degree_t_minus_1 0 60 36 2000 300 2141 2168 2291 6841 2203.564 187.712
upspa proto reg 0 60 48 2000 300 810045 876099 1031809 2625315 891578.833 110564.767
upspa proto auth 0 60 48 2000 300 836984 900549 977431 3053868 912310.691 99501.905
upspa proto secupd 0 60 48 2000 300 860301 929951 980877 2634862 938638.368 71115.310
upspa proto pwdupd 0 60 48 2000 300 1680966 1819266 2029967 3023525 1844744.795 100118.971
upspa formula auth 0 60 48 2000 300 817347 883735 1006929 1997590 895535.284 67873.905
upspa prim TOPRF_client_eval 0 60 48 2000 300 795432 860825 992126 2211965 874680.260 69074.299
upspa prim AEAD_DEC_cipherid 0 60 48 2000 300 1029 1069 1087 93980 1119.136 2081.999
upspa prim AEAD_DEC_ciphersp 0 60 48 2000 300 964 987 996 6375 990.971 158.208
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 60 48 2000 300 956 965 972 58911 997.860 1297.702
upspa prim HASH_suid 0 60 48 2000 300 72 74 75 143 74.034 2.367
upspa prim HASH_vinfo 0 60 48 2000 300 66 68 70 98 68.469 1.801
tspa proto reg 0 60 48 2000 300 1263540 1368168 1557403 3725004 1391102.221 98123.148
tspa proto auth 0 60 48 2000 300 895204 963422 1181163 2084729 984158.987 91593.578
tspa prim HASH_storuid 0 60 48 2000 300 66 68 70 98 68.407 1.919
tspa prim HASH_vinfo 0 60 48 2000 300 65 67 69 83 67.422 1.395
tspa prim OPRF_finalize 0 60 48 2000 300 2368 2410 6912 29807 2670.753 1186.294
tspa prim OPRF_eval_full 0 60 48 2000 300 20649 21482 22284 105206 21643.743 3051.365
