scheme kind op rng_in_timed nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
upspa formula auth 0 60 48 2000 300 1131152 1188042 1198045 1291889 1185902.323 12141.104
upspa prim TOPRF_client_eval 0 60 48 2000 300 1102933 1178188 1205838 2017105 1180382.744 41392.300
upspa prim AEAD_DEC_cipherid 0 60 48 2000 300 1448 1474 1808 3885 1503.099 107.300
upspa prim AEAD_DEC_ciphersp 0 60 48 2000 300 1320 1371 1401 2707 1373.053 33.974
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 60 48 2000 300 1305 1323 1337 6003 1325.686 104.902
upspa prim HASH_suid 0 60 48 2000 300 81 85 98 112 85.803 4.104
upspa prim HASH_vinfo 0 60 48 2000 300 75 78 80 100 78.444 3.445
tspa proto reg 0 60 48 2000 300 1805589 1922615 1985371 2303481 1925698.400 34825.611
tspa proto auth 0 60 48 2000 300 1326030 1413689 1449413 2297881 1413618.840 33567.640
tspa prim HASH_storuid 0 60 48 2000 300 79 82 84 100 82.114 2.735
tspa prim HASH_vinfo 0 60 48 2000 300 78 81 95 1174 82.852 24.735
tspa prim OPRF_finalize 0 60 48 2000 300 3656 3788 3881 7110 3778.578 137.401
